emotion,real_mean,real_sem,fake_mean,fake_sem,diff (fake-real)
Positive,0.05598554355434008,0.0006234038054898571,0.05122305249284227,0.00042294117375433923,-0.0047624910614978075
Negative,0.03629941894532083,0.0005053953488758603,0.04493104920345782,0.00042665076656166125,0.008631630258136992
Anger,0.016614952441966833,0.0003244636782312951,0.02222186493642362,0.0002834850773084453,0.005606912494456787
Anticipation,0.024243387501553217,0.00039248424417650206,0.021344796276004916,0.0002757942365285587,-0.0028985912255483012
Disgust,0.010948670053171235,0.0002739918990325105,0.01424166034896267,0.00023760141767870452,0.003292990295791434
Fear,0.021137816093262186,0.00038910094452093404,0.0278016301134419,0.0003526642597817179,0.006663814020179713
Joy,0.017612761326243277,0.00037232815111666237,0.015152201210269124,0.0002449757770680394,-0.0024605601159741527
Sadness,0.016517470856297255,0.0003450340279741996,0.02025573363537553,0.00029713002917437526,0.0037382627790782767
Surprise,0.010983834755153053,0.000297965303768852,0.011799530333745714,0.00023487141892826726,0.0008156955785926616
Trust,0.030561634812193917,0.00046075980206403193,0.030665749695003942,0.00032668912252028376,0.00010411488281002537
