language,emotion,mean_real,mean_fake,median_real,median_fake,diff_mean (fake-real),U_stat,p_value,effect_r,effect_size,n_real,n_fake,p_fdr,significant,sig_star
Chinese,Negative,0.0363,0.04493,0.02806,0.03774,0.00863,29786394.0,0.0,0.1323,small,5444,9664,0.0,True,***
Chinese,Fear,0.02114,0.0278,0.0137,0.01923,0.00666,29535576.5,0.0,0.1228,small,5444,9664,0.0,True,***
Chinese,Anger,0.01661,0.02222,0.0,0.01667,0.00561,29531748.0,0.0,0.1226,small,5444,9664,0.0,True,***
Chinese,Sadness,0.01652,0.02026,0.0,0.01336,0.00374,28324402.5,0.0,0.0768,negligible,5444,9664,0.0,True,***
Chinese,Disgust,0.01095,0.01424,0.0,0.0,0.00329,28613342.0,0.0,0.0877,negligible,5444,9664,0.0,True,***
Chinese,Surprise,0.01098,0.0118,0.0,0.0,0.00082,26856055.0,0.012226,0.0209,negligible,5444,9664,0.014672,True,*
Chinese,Trust,0.03056,0.03067,0.02174,0.02273,0.0001,26903299.0,0.01813,0.0227,negligible,5444,9664,0.020145,True,*
Chinese,Joy,0.01761,0.01515,0.0,0.0,-0.00246,25201625.0,3e-06,-0.042,negligible,5444,9664,4e-06,True,***
Chinese,Anticipation,0.02424,0.02134,0.01695,0.01695,-0.0029,24899631.0,0.0,-0.0534,negligible,5444,9664,0.0,True,***
Chinese,Positive,0.05599,0.05122,0.04878,0.04478,-0.00476,25002111.5,0.0,-0.0495,negligible,5444,9664,1e-06,True,***
English,Trust,0.03858,0.04704,0.03669,0.04319,0.00846,618049370.0,0.0,0.2302,small,28881,34791,0.0,True,***
English,Positive,0.05279,0.0586,0.05114,0.056,0.0058,584373472.0,0.0,0.1632,small,28881,34791,0.0,True,***
English,Anticipation,0.02354,0.02342,0.02151,0.02169,-0.00013,512057373.5,2.9e-05,0.0192,negligible,28881,34791,3.9e-05,True,***
English,Fear,0.02583,0.02494,0.02222,0.02094,-0.00088,489330984.5,0.0,-0.026,negligible,28881,34791,0.0,True,***
English,Joy,0.01587,0.01456,0.01322,0.01277,-0.00132,490923785.5,1e-06,-0.0228,negligible,28881,34791,1e-06,True,***
English,Sadness,0.01714,0.01522,0.01481,0.01299,-0.00192,463574601.0,0.0,-0.0773,negligible,28881,34791,0.0,True,***
English,Anger,0.02036,0.01794,0.01782,0.01513,-0.00242,456646629.0,0.0,-0.0911,negligible,28881,34791,0.0,True,***
English,Surprise,0.0183,0.01511,0.014,0.01215,-0.00319,462004021.5,0.0,-0.0804,negligible,28881,34791,0.0,True,***
English,Negative,0.03955,0.03582,0.0373,0.03361,-0.00373,454020557.5,0.0,-0.0963,negligible,28881,34791,0.0,True,***
English,Disgust,0.01195,0.00816,0.00957,0.00657,-0.0038,398990019.0,0.0,-0.2058,small,28881,34791,0.0,True,***
Japanese,Positive,0.02498,0.027,0.022,0.02308,0.00202,18227032.0,0.013498,0.0276,negligible,3686,9624,0.015574,True,*
Japanese,Trust,0.01755,0.01947,0.01493,0.01481,0.00192,17760784.0,0.904627,0.0013,negligible,3686,9624,0.904627,False,
Japanese,Anger,0.00845,0.00946,0.00529,0.00478,0.00101,17463766.0,0.159233,-0.0154,negligible,3686,9624,0.164724,False,
Japanese,Sadness,0.0083,0.00883,0.00559,0.00503,0.00054,17238086.5,0.010441,-0.0281,negligible,3686,9624,0.013052,True,*
Japanese,Anticipation,0.01299,0.01347,0.01097,0.01053,0.00048,17380276.0,0.071731,-0.0201,negligible,3686,9624,0.076855,False,
Japanese,Negative,0.02014,0.02048,0.01695,0.015,0.00034,16907360.5,2.8e-05,-0.0468,negligible,3686,9624,3.9e-05,True,***
Japanese,Disgust,0.00349,0.00374,0.0,0.0,0.00025,17000828.0,4.1e-05,-0.0415,negligible,3686,9624,5.3e-05,True,***
Japanese,Surprise,0.00658,0.00677,0.004,0.00306,0.00019,16805816.0,1e-06,-0.0525,negligible,3686,9624,2e-06,True,***
Japanese,Joy,0.00636,0.00616,0.00376,0.00298,-0.0002,16776760.0,1e-06,-0.0541,negligible,3686,9624,1e-06,True,***
Japanese,Fear,0.01304,0.01266,0.0085,0.00633,-0.00038,16329471.0,0.0,-0.0794,negligible,3686,9624,0.0,True,***
